"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2021-10-20,"R",NA,"estimate",1.15370544273255,1.15356034454693,0.0599518497954863,1.05538751007861,1.11597659540033,1.13933480964645,1.16778612259836,1.19078063656307,1.25215428804322
2021-10-21,"R",NA,"estimate",1.1481906665292,1.14789960611219,0.0594119897604305,1.05259290111763,1.10992738102323,1.13345914364243,1.16150716291041,1.18392526749211,1.24837237614296
2021-10-22,"R",NA,"estimate",1.1435539263316,1.14326937844014,0.0593643716222937,1.04638262041239,1.1063771323676,1.12959155156804,1.15619193833536,1.17911418511551,1.24194990999537
2021-10-23,"R",NA,"estimate",1.13831106852697,1.13946701278095,0.059765452830791,1.04176898072291,1.10260533405834,1.1255907329039,1.15213176798513,1.17581274850263,1.23874683403546
2021-10-24,"R",NA,"estimate",1.13551358305489,1.13622462097945,0.0603701003176874,1.03907319938455,1.09827783685452,1.12216102476249,1.14922227492696,1.17205092599284,1.23848665162024
2021-10-25,"R",NA,"estimate",1.13261644415209,1.1332446230166,0.060838768366278,1.03629145627906,1.09479307932064,1.11823716186086,1.14609373237006,1.16745528399178,1.23666309367452
2021-10-26,"R",NA,"estimate",1.12940702493439,1.13023953449921,0.060879348582603,1.03250336790338,1.09307573874634,1.11413092975179,1.14241597222208,1.16463870812423,1.23253563441022
2021-10-27,"R",NA,"estimate",1.12506311196731,1.12696833913315,0.0603589721877838,1.03291681367701,1.08969310646942,1.11113267712995,1.13901858233654,1.16176346055558,1.22956801364257
2021-10-28,"R",NA,"estimate",1.12126640099979,1.12326239828536,0.0593538120414408,1.02919927416991,1.08586094042127,1.10764749916812,1.13498442501347,1.15787899197377,1.22361047076985
2021-10-29,"R",NA,"estimate",1.11686245139359,1.11903658166275,0.058122124834355,1.02648196937388,1.08301695824132,1.10354633427011,1.13086986892501,1.15378754925109,1.21554343570027
2021-10-30,"R",NA,"estimate",1.11242801647262,1.11428501898895,0.0570026190151424,1.02074527515993,1.07838750396662,1.09923975693183,1.12560280032518,1.14946859640894,1.20801417369202
